,Comunidad Autónoma o ciudad,Nombre de la Empresa,Resumen de la empresa,Especialidad de la Empresa,Sector de la empresa,Tamaño de la empresa,Fundación de la empresa,Página web de la empresa,Teléfono de la empresa,Perfil en linkedin
10,Andalucía,Plexus Tech,"Somos una compañía tecnológica con más de 20 años de trayectoria trabajando para gran parte de las compañías del IBEX35, los principales retailers del país, y con gran especialización en el sector banca, turismo, servicios sociales, siendo líder a nivel nacional en el sector de salud tanto en la administración pública como privada.  

Un ecosistema tecnológico de servicios 360º fundado en el talento y las capacidades de nuestra gente, más de 2.000 profesionales desarrollando productos y servicios tecnológicos que hacen mejor la vida de personas, compañías e instituciones, con un modelo de trabajo basado en la cercanía, rapidez y flexibilidad: Flexology.  

Estamos especializados en diferentes áreas y servicios: Data, Customer First, Delivery y Desarrollo, Sistemas y Comunicaciones, Arquitectura y Devops, Ciberseguridad, I+d+i, Digital y Soporte y asistencia técnica. 
Desarrollamos productos propios basados en la innovación y en mejorar la vida de las personas. Es lo que llamamos, #TecnologíaconAlma. ",Unknown,Servicios de TI y consultoría de TI,1001-5000 empleados,2000,www.plexus.es,902998005,https://www.linkedin.com/company/plexus-tech/
11,Andalucía,VIEWNEXT,"Viewnext es una empresa de Servicios de Tecnologías de la información del grupo IBM en España, especializados en servicios de gestión y desarrollo de aplicaciones e infraestructuras .

Contamos a dia de hoy con un equipo de más de 4.500 profesionales especializados en tecnologías de la información, con una cobertura de oficinas y centros de innovación tecnológica en España y Portugal y con una capacidad internacional gracias a la cobertura de la red Global Delivery de IBM. 

Viewnext cuenta con 10 Centros de Innovación Tecnológica, en Cáceres, Salamanca (Aldeatejada y Villamayor), Ourense, Reus, Málaga, Almería, Zaragoza, Tomar y Viseau, estos últimos perteneciente a SOFTINSA, empresa del grupo en Portugal. ","Servicios de Desarrollo y Mantenimiento de Aplicaciones, Cloud Computing, Analytics, IOT, Servicios Gestionados TI, Movilidad, Outtasking, Software Testing & QA, SAP, Ciberseguridad, Big data y Transformación Digital",Unknown,1001-5000 empleados,1991,https://www.viewnext.com,,https://www.linkedin.com/company/viewnext/
12,Andalucía,IZERTIS,"Izertis ayuda a sus clientes a lo largo de sus procesos de Metamorfosis Digital, entendida como un cambio profundo y transversal que influye en las empresas más allá de los procesos, cambiándolas para siempre. La compañía ofrece un completo porfolio de capacidades tecnológicas y metodológicas, destacando en entornos como IA, Data & Intelligence, Digital Experience, Devops, Cloud, Cyber Security, Smart Software Labs, Quality Assurance, Hyper Automation, It Sourcing, Business Solutions, Blockchain, Project & IT Governance Consulting y otras tecnologías habilitadoras de los procesos de transformación.

Tras 25 años de experiencia, Izertis cuenta con oficinas distribuidas por Europa, América y África, además de proyectos en más de 50 países. Actualmente, sus equipos de trabajo los integran más de 1.200 profesionales. En los dos últimos años ha sido incluida dentro del ranking de las 1.000 empresas que más rápido crecen entre los 36 países europeos. En noviembre de 2019 se incorporó al BME Growth y desde abril de 2020 está incluida en el índice IBEX Growth Market 15.",Unknown,Servicios de TI y consultoría de TI,1001-5000 empleados,1996,http://www.izertis.com,+34 985 16 38 91,https://www.linkedin.com/company/izertis/
13,Andalucía,Plain Concepts,"Fundada en 2006, Plain Concepts nace con el objetivo de desarrollar y facilitar a todo tipo de compañías la adopción de nuevas tecnologías destinadas a mejorar su productividad y procesos.

Especialista en desarrollos disruptivos en Inteligencia Artificial, Realidad Mixta, Big Data, Blockchain, IoT y Cloud, la misión de Plain Concepts es ofrecer soluciones personalizadas, innovadoras y atractivas para todo tipo de necesidades digitales, incorporando siempre la última tecnología disponible. 

Premiados en 2016 como Microsoft Partner del Año, actualmente contamos con una plantilla superior a los 450 empleados, marcando un hito dentro del sector tecnológico al contar con más de 10 profesionales reconocidos como MVP de Microsoft y más de una decena de certificaciones a nivel empresarial.

Con presencia en USA, UAE, UK, España, Alemania y Holanda, hemos desarrollado más de 2000 proyectos para compañías pertenecientes a todo tipo de sectores como BBVA, Microsoft, Acciona, Infojobs Brasil, Repsol, EDP, Telefónica, Asisa, Aenor, GroupM o IE. 

Plain Concepts es Gold Partner de Microsoft, Microsoft AI Partner, Microsoft Mixed Reality Partner en Europa y USA y el primero en España, y ha sido elegido Best Place to work durante dos años consecutivos.","Cloud Computing, Business Inteligence, Big Data, Mixed Reality, Virtual Reality, Artificial Intelligence, Machine Learning, Xamarin, Azure, Microsoft, Internet of Things, UX/UI Design, Modern Workplace, Microsoft 365, Business Applications, Blockchain, Web Applications, Digital Marketing, DevOps y Azure",Unknown,201-500 empleados,2006,http://www.plainconcepts.com,Unknown,https://www.linkedin.com/company/plainconcepts/
14,Andalucía,SNGULAR,"An international team of expert hands-on information technology problem solvers that helps companies leverage today’s most cutting edge digital technologies to create value and grow. We are innovation enablers. Founded in Madrid, Spain, more than 20 years ago as a developer of custom software solutions for some of the leading financial institutions in Europe, today, we have over 600 professionals working throughout the United States, Spain and Mexico—with other international offices poised to soon open. We provide a wide range of end-to-end technology solutions for companies in industries as diverse as health, energy, retail, and telecommunications. Despite our strong growth, we have not forgotten our roots as a startup and that, in the ever-changing world of technology services, innovation and nimbleness are the keys to our (and our clients) success.",Unknown,Servicios de TI y consultoría de TI,1001-5000 empleados,2014,http://www.sngular.com,+34 917 680 440,https://www.linkedin.com/company/sngular/
15,Andalucía,Between Technology,Unknown,Unknown,Unknown,501-1000 empleados,Unknown,https://www.between.tech,Unknown,https://www.linkedin.com/company/between-tech/
16,Andalucía,IMF Smart Education,"IMF Smart Education es líder en educación superior que ha formado a más de 150.000 profesionales, desde hace más de 21 años. En la actualidad está presente en LATAM, ASIA y EUROPA y contamos con acuerdos con Universidades de los 5 continentes.

Nuestra Escuela de Negocios, IMF forma parte de los principales rankings mundiales y es miembro de prestigiosas asociaciones como The Association to Advance Collegiate Schools of Business (AACSB) y la Asociación de MBA (AMBA), la asociación internacional con sede en Londres que acredita las maestrías internacionales en administración de empresas. además de colaboradora y Partner de instituciones de reconocido prestigio la Organización de Estados Americanos (OEA) o de grandes consultoras globales como Deloitte, EY o Indra.

Disponemos de programas en las áreas más demandadas del mercado: Ciencias Técnicas e Ingeniería, Ciencias de la Salud y la Educación, Ciencias Económicas y Empresariales, Ciencias Jurídicas y Ciencias Sociales y Humanidades. Para ello, nos apoyamos en un equipo de expertos integrado por doctores universitarios y profesionales en activo, especializados en cada área para dar asistencia tutorial y pedagógica a los alumnos, garantizando que en todo momento obtengan una atención personalizada y completa.",Unknown,Enseñanza superior,201-500 empleados,2001,https://www.imf-formacion.com/,+34 913 64 51 57,https://www.linkedin.com/company/imf-smart-education/
17,Andalucía,Omega CRM,"We are a European and independent company whose mission is to accelerate the business experience (BX) of its customers. In concrete terms, our 360 solutions allow business transformation and acceleration by means of technology and data applied to Customer #OmnichannelExperiences in fields such as #CustomerServices, #eCommerce, #Analytics or #Marketing. We target companies from different fields such as: #Retail, #LifeandSciences, #Manufacturing but also #Education, #NonProfit, #NGO etc.

We are one of the top 3 partners of #Salesforce in Europe. Our team is composed of more than 430 people of 22 nationalities based in Spain and France, who have wide knowledge and experience that understands business processes and technology while enjoying what it does. Key to our success is the knowledge of our people. We are an innovation and Outstanding Knowledge award-winning, Salesforce Consulting Partner.

Our priority is the well-being of the team. We foster a collaborative culture, involved and supported by our company values: #Talent, #flexibility, #commitment and #innovation.  We bring them to everything we do. #TogetherWeGrow","CRM, Business Intelligence, Marketing Digital, Innovation, Business Digital Process, Digital Customer Experiences, Analytics, Customer Data Platform, Customer Managed Services, UX-UI Design, eCommerce , Communities, MTA, Omnichannel Customer real-time Interaction , Customer Data Platform, Marketing Automation, Customer Value modelling, Blockchain, AI, Madtech y Analytics",Unknown,201-500 empleados,2002,https://omegacrmconsulting.com/,Unknown,https://www.linkedin.com/company/omega-crm-consulting/
18,Andalucía,Opinno,"Somos una consultora global de innovación. Ayudamos a las grandes organizaciones a emprender e innovar a través de las metodologías ágiles utilizadas por las start-ups.

Entendemos la innovación como el proceso que comienza escuchando a las personas, para diseñar nuevos servicios, productos y soluciones tecnológicas que generen un impacto en la sociedad.

Para observar las tendencias creativas del futuro y ofrecer lo último en innovación a nuestros clientes, tenemos alianza con la revista MIT Technology Review de la prestigiosa universidad Massachusetts Institute of Technology (MIT). En los últimos meses de 2015, nos asociamos con Xprize, los premios que fomentan el desarrollo tecnológico que podrían beneficiar a la humanidad, creados por la directiva de la última creación educativa y exclusiva de Google con la NASA, la Singularity University.

Buscamos ofrecer a nuestros clientes un equipo diverso con experiencia en diferentes países: España, Francia, Estados Unidos, México, Colombia, Ecuador, Argentina, Uruguay, Chile 

Si quieres ser parte de nuestro equipo e innovar con nosotros, entra en: https://work.opinno.io/jobs/offers",Unknown,Asesoría y servicios empresariales,201-500 empleados,2008,https://opinno.com/en,+34911284864,https://www.linkedin.com/company/opinno/
19,Andalucía,GRUPO SOLUTIO,"En SOLUTIO llevamos más de 20 años prestando servicios tecnológicos en algunas de las principales compañías del país. Podemos presumir de ser más de 250 profesionales altamente cualificados ayudando a nuestros clientes a conseguir sus objetivos de negocio a través de nuestras soluciones y servicios especializados en Desarrollo, Movilidad, Business Intelligence&Big Data, Consultoría IT y Outsourcing.

Desde nuestras oficinas en Madrid, Barcelona y Córdoba damos amplia cobertura de servicios en todo el territorio nacional.

Nuestro objetivo es garantizar la excelencia de nuestros servicios y esto solamente es posible si contamos con el mejor TALENTO. Por eso en SOLUTIO buscamos personas como TÚ, profesionales con TALENTO que disfrutan y sienten pasión por la tecnología, con inquietudes y ganas de asumir nuevos retos y desafíos.

Si quieres formar parte de este gran proyecto que es SOLUTIO, ¡¡¡envíanos tu CV a talento@gruposolutio.com!!!",Unknown,Servicios de TI y consultoría de TI,201-500 empleados,1998,http://www.gruposolutio.com,+34 91 57 79 725,https://www.linkedin.com/company/grupo-solutio/
20,Andalucía,"Nfq Advisory, Solutions, Outsourcing","Desde 2010 colaboramos con nuestros clientes en un nuevo modelo de consultoría con conocimiento especialista en banca, seguros, real estate e industria.","Consulting, Insurance, Capital Markets, Wholesale Banking, Finance, Asset Management, Private Banking, Risk Management, Software Solutions, Process Outsourcing, Retail Banking, ALM and Liquidity, Digital Assessment, Digital Transformation, Big Data, Process re-engineering, Blockchain, Innovation, IT Consulting, Counterparty Risk/CVA, Industry, Platforms y IP Products",Unknown,1001-5000 empleados,2010,https://nfq.es,Unknown,https://www.linkedin.com/company/nfq-advisory/
21,Andalucía,"NWorld Advisory, Tech & Operations","N World is made up of 3 specialized companies that provide services in the different links of the value chain: Nfq, Bosonit and Nforce. The Group is completed with 2 specialized initiatives in the generation of talent, NxtGen and in innovation and business acceleration, The Wick.",Unknown,Unknown,1001-5000 empleados,Unknown,http://n.world,Unknown,https://www.linkedin.com/company/nworld-global/
22,Andalucía,Savana,"Founded in 2014, Savana is an international medical company that has developed a scientific methodology that applies Artificial Intelligence (AI) to unlock all the clinical value embedded within Electronic Health Records' free-text (EHRs). With the largest AI-enabled, multi-language, multi-center research network in the world, Savana generates customized descriptive and predictive, High-quality Deep Real World Evidence research studies. Engineered by doctors for doctors, the company is built following the highest privacy-by-design standards. 
Savana constitutes a clinical research ecosystem that aims to advance personalized and precision medicine worldwide.",Unknown,Unknown,51-200 empleados,Unknown,http://www.savanamed.com/,,https://www.linkedin.com/company/savanamed/
23,Andalucía,VISEO IBERIA,"VISEO es una empresa tecnológica global con más de 2500 empleados, presente en los cinco continentes.  Con más de 20 años de experiencia, es líder en tecnologías de la información y consultoría multiplataforma. 

En VISEO se combina la agilidad y la adaptabilidad del know-how global para utilizar las nuevas oportunidades digitales como una poderosa herramienta de transformación digital de infraestructuras y procesos de alto valor añadido.  

El objetivo en VISEO es innovar para que los clientes alcancen la máxima competitividad y liderazgo sectorial ganando en su carrera digital. 

VISEO IBERIA es la filial del GRUPO VISEO en España, partner estratégico de SAP, Microsoft, Salesforce, CEGID o ANAPLAN entre otros.  

Conócenos mejor aquí:  www.viseo.com ",Unknown,Servicios de TI y consultoría de TI,501-1000 empleados,1998,https://www.viseo.com,+34 91 515 13 83,https://www.linkedin.com/company/viseo-iberia/
24,Andalucía,Kabel,"Kabel impulsa la transformación de los negocios a través de la tecnología. En un contexto de incertidumbre para las organizaciones, donde lo único constante es el cambio, las empresas necesitan adaptarse para mantener su competitividad, y para ello necesitan ser ágiles en su transformación siendo la tecnología un habilitador clave del proceso. Ante los retos a los que pensamos se enfrentan las compañías (toma de decisión, entrega de valor, colaboración, y evolución tecnológica), desde Kabel: 

• Habilitamos la toma de decisión a todos los niveles de la organización 
• Democratizamos el acceso tanto a tecnología como a información 
• Generamos el máximo valor al menor coste 
• Aceleramos el ritmo de la transformación necesaria 

Somos uno de los principales partners de Microsoft en España, con 14 competencias Gold, y especializaciones avanzadas en modernización de Aplicaciones en Azure y Kubernettes. En 2020 recibimos el premio Partner del año de Inteligencia Artificial. Formamos parte de iniciativas exclusivas a nivel mundial como el AI Inner Circle y el GitHub Inner Circle. Asimismo, somos parte del Mixed Reality Partner Program (MRPP) a nivel mundial y somos distribuidor autorizado de HoloLens 2 (DMP) lo que nos permite distribuir HoloLens con nuestras Soluciones de Realidad Mixta. Estamos también certificados en otras tecnologías cloud, como AWS y Google Cloud, y somos partners certificados de Databricks, Sitecore y Anjana Data.

Lo que diferencia a Kabel son las personas.  Un equipo multidisciplinar, de más de 250 personas, donde el 75% de la plantilla son consultores certificados en tecnologías de Microsoft, AWS, Databricks, Google Cloud y Sitecore, y están en continua formación gracias a los planes de desarrollo y capacitación.",Unknown,Servicios de TI y consultoría de TI,201-500 empleados,1995,http://www.kabel.es,+34913833224,https://www.linkedin.com/company/kabel/
25,Andalucía,atmira,"La marca donde construir lo que imaginas.

Con una orientación a plataforma de servicios, estamos orgullosos de nuestra capacidad de construir tecnológicamente todo aquello que puedas imaginar, cubriendo desde la consultoría y el diseño hasta el desarrollo y ejecución de proyectos de transformación. Siempre al lado y en comunión con nuestros clientes, el ecosistema tecnológico, el talento, las personas y la sociedad.

#ShaperAdvisory 👉 Contribuimos al cambio
Te ayudamos a medir el impacto del cambio en tu organización. Y a definir y ejecutar estrategias digitales.  
 
#ShaperSolutions 👉 Creamos soluciones contigo
Hacemos realidad el cambio, impulsando la necesidad de renovación y transformación que quieres.

#BusinessSolutions 👉 Soluciones para tu negocio
La pasión que le ponemos en desarrollar las mejores soluciones que responde al reto de tu negocio, como SIREC: el líder como plataforma de Collection, una plataforma digital para la gestión del negocio de recobro y recuperaciones basadas en la propia experiencia de los usuarios y la transversalidad sectorial.

#TechHub 👉 Más que tecnología
Un lugar dónde vivir la tecnología de manera diferente, compartir buenas prácticas y mucho código.

Una marca con ADN de empresa sostenible, desde el core de nuestra actividad orientada al negocio, las personas y la sociedad.

#OpenSpaces | Abriendo nuestros espacios al servicio de las personas. Un lugar donde crear todo lo que quieras de la mano de la tecnología y las personas.
#Comunidades | Generando vínculos de conocimiento por interés común y creando un sentimiento de pertenencia.
#Ecosistemas | Creando sinergias entre tecnologías y modelos de negocio para diseñar soluciones para el progreso de la sociedad en un contexto de digitalización.
#Ventures | Al lado de ideas e iniciativas de nuestros soci@s, democratizando la innovación.

#AdopciónCloud #EcosistemasDigitales #OpenApi #DigitalInteraction #Automatización #Data&Analytics #TotalExperience #Collection  ",Unknown,Servicios de TI y consultoría de TI,501-1000 empleados,2005,https://www.atmira.com/,914471847,https://www.linkedin.com/company/atmira/
26,Andalucía,Zemsania Global Group,"Grupo Tecnológico multinacional especialista en Proyectos, Soluciones, Servicios y Talento TIC, Digital, Industria 4.0, Ingeniería y energía.

Ayudamos a nuestros clientes a optimizar sus organizaciones a través de nuestra experiencia en innovación tecnológica.

Aportamos más de 18 años de experiencia con 600 profesionales en España y Latinoamérica (Colombia, México, Perú, USA)

Acompañamos a nuestros clientes en todo el ciclo de vida de los proyectos y servicios tecnológicos (Asesoramiento, Implantación y Soporte continuo) como su Partner Tecnológico de Confianza.

• Soluciones en Talento TIC & Digital.
• Soluciones, Servicios y Soporte TIC & Digital.
• Consultoría y Proyectos en Digitalización de Procesos y Transformación Digital.
• Soluciones y Proyectos tecnológicos en Industria 4.0 e Ingeniería.","Servicios y Soluciones IT, Transformación Digital, TIC, Cloud, IoT, Big Data, Industry 4.0, Analytics, RPA, Recruitment perfiles Tech, Consultoría Metodologias Agile y Lean Management, Digitalización de Procesos, Gestión de Equipos Remotos de Alto rendimiento, Hiperautomatización, Ciberseguridad, Talent Acquisition y Tech Talent",Servicios de TI y consultoría de TI,501-1000 empleados,2003,https://www.zemsaniaglobalgroup.com,+34 933 208 590,https://www.linkedin.com/company/zemsania-global-group/
27,Andalucía,NUNSYS,"Creada en 2007 con capital 100% nacional, Nunsys es una compañía especializada en la implantación de soluciones integrales de tecnología. Realiza proyectos de Comunicaciones, Sistemas, desarrollo de Software, Industria, Transformación digital, Ciberseguridad, Audiovisuales y Formación, dirigidos tanto a empresas privadas como a entidades públicas. En la actualidad Nunsys está integrada por más de 600 profesionales con una amplia experiencia en el sector TIC y atiende a más de 3.000 clientes nacionales a través de su red de 15 delegaciones en las principales capitales de provincia españolas.",Unknown,Servicios de TI y consultoría de TI,501-1000 empleados,2007,http://nunsys.com,675835598,https://www.linkedin.com/company/nunsys/
28,Andalucía,RavenPack,"RavenPack is the leading big data analytics provider for financial services. Financial professionals rely on RavenPack for its speed and accuracy in analyzing large amounts of unstructured content.

The company’s products allow clients to enhance returns, reduce risk or increase efficiency by incorporating the effects of public information in their models or workflows.

RavenPack’s clients include the most successful hedge funds, banks, and asset managers in the world.","sentiment, news analysis, news analytics, news sentiment, automated news analysis, natural language processing, named entity recognition, big data, data mining, machine-readable news, financial research, natural language processing, event detection, machine learning y artificial intelligence",Unknown,51-200 empleados,2003,https://www.ravenpack.com,Unknown,https://www.linkedin.com/company/ravenpack/
29,Andalucía,EDICOM,"EDICOM es una empresa tecnológica especializada en la integración de aplicaciones con más de 25 años de experiencia. Su misión es facilitar la transformación digital de las empresas a través de soluciones innovadoras de telecomunicación.
EDICOM es proveedor global de servicios de confianza, intercambio electrónico de datos, IpaaS, almacenamiento de larga duración, facturación electrónica y compliance en más de 70 países.
Su calidad en el servicio está acreditada por las más prestigiosas y exigentes certificaciones internacionales tales como ISAE 3402, TIER II Design o las ISO 27001, 20000 entre otras.","Electronic Data Interchange (EDI), Global Electronic Invoicing, GDSN Data Pool, Supply Chain Management, B2B Integration Solution, e-Procurement, e-Air Waybill, Trust Service Provider, PEPPOL, Vat Compliance, Long-term archiving, IpaaS, Digital Signature, Compliance, Digital Transformation y Tax software",Unknown,501-1000 empleados,1995,http://www.edicomgroup.com,Unknown,https://www.linkedin.com/company/edicom/
